Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,982,0,220.0,256.20725193513675,12.930800003232434,1051.281399995787,116.0,16.621940936947478,0.0,230,260,290,320,420,500,710,790,1100,1100,1100
GET,/competitors,652,0,440.0,499.43765920261563,11.212200013687834,1251.286299986532,2.0,11.036156304368387,0.0,440,530,610,670,840,970,1200,1200,1300,1300,1300
GET,/features/{company},330,0,430.0,495.0388775774186,83.45679999911226,1298.6515999946278,2.0,5.585784632579092,0.0,430,500,600,660,860,1000,1200,1300,1300,1300,1300
GET,/health,1568,0,320.0,349.68292940063793,6.527099991217256,1168.0841999768745,85.0,26.540940314800046,0.0,320,360,420,460,590,680,900,960,1100,1200,1200
GET,/reports/{company},639,0,440.0,478.9466107984606,10.983699990902096,1279.7235999896657,2.0,10.816110243084967,0.0,440,520,590,640,780,910,1100,1200,1300,1300,1300
,Aggregated,4171,0,330.0,382.3882575884379,6.527099991217256,1298.6515999946278,60.04171661472069,70.60093243177997,0.0,330,410,470,520,670,810,1000,1100,1300,1300,1300
