Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,196,0,10,14.50273163283448,6.005400005960837,154.16529998765327,116.0,7.009267244618907,0.0,10,12,14,15,27,32,57,140,150,150,150
GET,/competitors,128,0,16,21.554748435846705,8.857500011799857,140.8235999988392,2.0,4.5774806495470415,0.0,16,21,24,26,37,60,73,77,140,140,140
GET,/features/{company},57,0,15,25.224966666428372,9.92959999712184,219.58410000661388,2.0,2.038409351751417,0.0,15,19,25,29,41,78,96,220,220,220,220
GET,/health,318,0,11,14.675468238072071,6.190299987792969,120.50329998601228,85.0,11.372178488718431,0.0,11,13,17,18,30,38,49,58,120,120,120
GET,/reports/{company},150,0,16,25.204284000598516,10.182600002735853,278.61599999596365,2.0,5.364235136187939,0.0,16,22,25,28,47,67,100,130,280,280,280
,Aggregated,849,0,12,18.241234157369906,6.005400005960837,278.61599999596365,59.40636042402827,30.361570870823737,0.0,12,16,20,22,33,46,76,100,280,280,280
