Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,478,0,1100.0,2581.7432161097277,39.011299988487735,29511.439699999755,116.0,8.007464899745697,0.0,1100,1400,1600,1700,1900,2700,29000,29000,30000,30000,30000
GET,/competitors,256,0,4100.0,7819.210598437849,39.02439997182228,33269.722199998796,2.0,4.288516766391001,0.0,4100,4400,4600,4800,32000,32000,32000,33000,33000,33000,33000
GET,/features/{company},152,3,4200.0,9385.25114342146,530.6485000182875,33209.58999998402,2.375,2.5463068300446565,0.05025605585614454,4200,4400,4800,31000,32000,32000,33000,33000,33000,33000,33000
GET,/health,777,0,2000.0,4103.692886744009,41.35459999088198,31385.39499999024,85.0,13.016318466741435,0.0,2000,2500,2600,2700,3100,30000,30000,31000,31000,31000,31000
GET,/reports/{company},285,3,4200.0,7949.940089123494,85.91550000710413,33239.41890001879,2.2,4.774325306333731,0.05025605585614454,4200,4400,4600,4900,32000,32000,33000,33000,33000,33000,33000
,Aggregated,1948,6,2100.0,5193.352999333104,39.011299988487735,33269.722199998796,63.13809034907597,32.63293226925652,0.10051211171228908,2100,2900,3900,4200,29000,32000,32000,32000,33000,33000,33000
