Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1866,0,210.0,229.6206530006591,6.127500004367903,2566.7870999895968,116.0,30.728356935145428,0.0,210,250,270,290,340,390,440,500,2400,2600,2600
GET,/competitors,1202,0,260.0,298.1701839429337,13.079800002742559,2448.9914000150748,2.0,19.79393624654062,0.0,260,310,340,360,450,570,690,820,2400,2400,2400
GET,/features/{company},620,0,260.0,293.93022790308964,13.982800010126084,1762.3887000081595,2.0,10.209850642974365,0.0,260,310,340,370,460,560,640,720,1800,1800,1800
GET,/health,2991,0,230.0,264.4950598126561,6.70730002457276,2604.089800006477,85.0,49.25429560183278,0.0,230,270,300,330,400,460,550,660,2600,2600,2600
GET,/reports/{company},1227,0,250.0,293.3833395275289,13.958899973658845,2294.2546000122093,2.0,20.205623772467007,0.0,250,300,330,360,460,570,680,790,2100,2300,2300
,Aggregated,7906,0,240.0,268.1755024536409,6.127500004367903,2604.089800006477,60.30723501138376,130.1920631989602,0.0,240,280,310,330,400,480,610,740,2600,2600,2600
